|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       7 |       11150 |       07:23:34 |         0.88 |              |       0.3888 |              |      1.0000e-08 |
|       7 |       11200 |       07:25:09 |         1.10 |              |       0.6074 |              |      1.0000e-08 |
|       7 |       11250 |       07:26:44 |         1.55 |              |       1.1978 |              |      1.0000e-08 |
|       7 |       11300 |       07:28:18 |         1.33 |              |       0.8827 |              |      1.0000e-08 |
|       7 |       11350 |       07:29:53 |         1.31 |              |       0.8520 |              |      1.0000e-08 |
|       7 |       11400 |       07:35:46 |         1.01 |         1.30 |       0.5077 |       0.8506 |      1.0000e-08 |
|       7 |       11450 |       07:37:21 |         1.20 |              |       0.7237 |              |      1.0000e-08 |
|       7 |       11500 |       07:38:56 |         1.70 |              |       1.4439 |              |      1.0000e-08 |
|       7 |       11550 |       07:40:30 |         1.88 |              |       1.7759 |              |      1.0000e-08 |
|       7 |       11600 |       07:42:05 |         0.84 |              |       0.3495 |              |      1.0000e-08 |
|       7 |       11650 |       07:43:39 |         1.14 |              |       0.6477 |              |      1.0000e-08 |
|       7 |       11700 |       07:45:14 |         1.66 |              |       1.3803 |              |      1.0000e-08 |
|       7 |       11750 |       07:46:49 |         1.48 |              |       1.0948 |              |      1.0000e-08 |
|       7 |       11800 |       07:48:24 |         1.34 |              |       0.8918 |              |      1.0000e-08 |
|       7 |       11850 |       07:49:59 |         1.42 |              |       1.0067 |              |      1.0000e-08 |
|       7 |       11900 |       07:51:34 |         1.21 |              |       0.7345 |              |      1.0000e-08 |
|       7 |       11950 |       07:53:09 |         1.32 |              |       0.8723 |              |      1.0000e-08 |
|       7 |       12000 |       07:59:02 |         1.30 |         1.31 |       0.8510 |       0.8598 |      1.0000e-08 |
|       7 |       12050 |       08:00:38 |         1.61 |              |       1.2888 |              |      1.0000e-08 |
|       7 |       12100 |       08:02:13 |         1.38 |              |       0.9469 |              |      1.0000e-08 |
|       7 |       12150 |       08:03:47 |         1.35 |              |       0.9076 |              |      1.0000e-08 |
|       7 |       12200 |       08:05:21 |         1.62 |              |       1.3167 |              |      1.0000e-08 |
|       7 |       12250 |       08:06:56 |         1.44 |              |       1.0306 |              |      1.0000e-08 |
|       7 |       12300 |       08:08:30 |         1.51 |              |       1.1374 |              |      1.0000e-08 |
|       7 |       12350 |       08:10:05 |         1.14 |              |       0.6549 |              |      1.0000e-08 |
|       7 |       12400 |       08:11:40 |         1.65 |              |       1.3654 |              |      1.0000e-08 |
|       7 |       12450 |       08:13:14 |         1.44 |              |       1.0306 |              |      1.0000e-08 |
|       7 |       12500 |       08:14:49 |         1.34 |              |       0.9016 |              |      1.0000e-08 |
|       7 |       12550 |       08:16:24 |         2.04 |              |       2.0710 |              |      1.0000e-08 |
|       7 |       12600 |       08:22:16 |         1.11 |         1.30 |       0.6125 |       0.8439 |      1.0000e-08 |
|       8 |       12650 |       08:23:54 |         1.26 |              |       0.7999 |              |      1.0000e-08 |
|       8 |       12700 |       08:25:30 |         1.61 |              |       1.2969 |              |      1.0000e-08 |
|       8 |       12750 |       08:27:05 |         1.14 |              |       0.6514 |              |      1.0000e-08 |
|       8 |       12800 |       08:28:40 |         0.96 |              |       0.4603 |              |      1.0000e-08 |
|       8 |       12850 |       08:30:14 |         1.77 |              |       1.5706 |              |      1.0000e-08 |
|       8 |       12900 |       08:31:50 |         1.32 |              |       0.8741 |              |      1.0000e-08 |
|       8 |       12950 |       08:33:24 |         1.62 |              |       1.3192 |              |      1.0000e-08 |
|       8 |       13000 |       08:34:59 |         1.59 |              |       1.2585 |              |      1.0000e-08 |
|       8 |       13050 |       08:36:33 |         1.49 |              |       1.1091 |              |      1.0000e-08 |
|       8 |       13100 |       08:38:08 |         1.31 |              |       0.8628 |              |      1.0000e-08 |
|       8 |       13150 |       08:39:43 |         1.20 |              |       0.7186 |              |      1.0000e-08 |
|       8 |       13200 |       08:45:36 |         1.53 |         1.30 |       1.1674 |       0.8487 |      1.0000e-08 |
|       8 |       13250 |       08:47:12 |         1.35 |              |       0.9047 |              |      1.0000e-08 |
|       8 |       13300 |       08:48:47 |         1.19 |              |       0.7103 |              |      1.0000e-08 |
|       8 |       13350 |       08:50:22 |         1.45 |              |       1.0514 |              |      1.0000e-08 |
|       8 |       13400 |       08:51:57 |         1.22 |              |       0.7471 |              |      1.0000e-08 |
|       8 |       13450 |       08:53:32 |         1.13 |              |       0.6370 |              |      1.0000e-08 |
|       8 |       13500 |       08:55:07 |         1.43 |              |       1.0158 |              |      1.0000e-08 |
|       8 |       13550 |       08:56:41 |         1.14 |              |       0.6476 |              |      1.0000e-08 |
|       8 |       13600 |       08:58:16 |         1.04 |              |       0.5456 |              |      1.0000e-08 |
|       8 |       13650 |       08:59:51 |         1.75 |              |       1.5259 |              |      1.0000e-08 |
|       8 |       13700 |       09:01:26 |         1.33 |              |       0.8866 |              |      1.0000e-08 |
|       8 |       13750 |       09:03:00 |         1.30 |              |       0.8447 |              |      1.0000e-08 |
|       8 |       13800 |       09:08:54 |         1.15 |         1.30 |       0.6597 |       0.8472 |      1.0000e-08 |
|       8 |       13850 |       09:10:29 |         1.59 |              |       1.2710 |              |      1.0000e-08 |
|       8 |       13900 |       09:12:04 |         1.00 |              |       0.4959 |              |      1.0000e-08 |
|       8 |       13950 |       09:13:39 |         1.26 |              |       0.7959 |              |      1.0000e-08 |
|       8 |       14000 |       09:15:13 |         1.69 |              |       1.4240 |              |      1.0000e-08 |
|       8 |       14050 |       09:16:48 |         1.34 |              |       0.8989 |              |      1.0000e-08 |
